Survived,Pclass,Sex,Age,Fare,Embarked,Title,Deck,Family_Size,PassengerId
1,1,male,40.0,30.5,S,Mr,C,1,299
0,3,male,25.0,7.05,S,Mr,M,1,885
1,2,female,24.0,14.5,S,Mrs,M,3,248
0,3,male,22.0,7.5208,S,Mr,M,1,479
1,1,male,0.92,151.55,S,Master,C,4,306
1,2,female,24.0,26.0,S,Mrs,M,2,317
1,3,female,26.0,7.925,S,Miss,M,1,3
0,2,male,34.0,21.0,S,Mr,M,2,406
1,1,female,21.0,262.375,C,Miss,B,5,743
0,3,male,26.0,7.75,Q,Mr,M,1,261
1,3,female,31.0,7.2292,C,Mrs,M,1,368
0,3,male,26.0,8.6625,S,Mr,M,1,159
1,3,female,22.0,7.775,S,Miss,M,1,555
1,1,female,62.0,80.0,S,Mrs,B,1,830
1,3,female,18.0,9.8417,S,Miss,M,1,678
1,1,female,42.0,227.525,C,Miss,M,1,381
0,2,male,57.0,12.35,Q,Rev,M,1,627
0,3,male,19.0,0.0,S,Mr,M,1,303
1,2,female,42.0,26.0,S,Mrs,M,2,433
0,3,male,26.0,7.225,C,Mr,M,1,523
0,3,female,20.0,8.6625,S,Miss,M,1,405
0,3,male,34.5,6.4375,C,Mr,M,1,844
0,3,male,28.0,9.5,S,Mr,M,1,356
0,3,male,26.0,8.05,S,Mr,M,1,465
0,3,male,23.0,7.8958,S,Mr,M,1,754
0,3,male,22.0,7.25,S,Mr,M,1,213
1,1,male,52.0,30.5,S,Major,C,1,450
1,3,female,30.0,12.475,S,Miss,M,1,80
0,2,male,36.5,26.0,S,Mr,F,3,149
0,3,male,26.0,7.75,Q,Mr,M,1,429
0,3,male,22.0,7.2292,C,Mr,M,1,61
1,1,male,50.0,133.65,S,Dr,M,3,661
1,3,male,27.0,6.975,S,Mr,M,1,805
0,3,male,22.0,8.05,S,Mr,M,1,589
1,1,female,51.0,77.9583,S,Mrs,D,2,766
0,2,male,36.0,10.5,S,Mr,M,1,266
1,2,female,29.0,26.0,S,Mrs,M,2,134
1,1,female,22.0,151.55,S,Miss,M,1,709
0,1,male,50.0,106.425,C,Mr,C,2,545
1,2,female,40.0,13.0,S,Miss,M,1,347
1,3,male,27.0,8.6625,S,Mr,M,1,822
0,1,male,40.0,0.0,S,Mr,M,1,634
0,1,male,65.0,26.55,S,Mr,E,1,457
0,3,male,17.0,8.6625,S,Mr,M,1,501
1,1,male,28.0,26.55,S,Mr,C,1,431
1,1,male,4.0,81.8583,S,Master,A,3,446
0,3,male,26.0,7.8958,S,Mr,M,1,651
1,3,female,1.0,11.1333,S,Miss,M,3,173
0,2,male,36.0,27.75,S,Mr,M,4,451
0,2,male,43.0,26.25,S,Mr,M,3,315
0,1,male,38.0,153.4625,S,Mr,C,2,333
1,2,female,31.0,26.25,S,Mrs,M,3,802
0,3,male,29.0,8.05,S,Mr,M,1,91
0,3,male,18.0,8.3,S,Mr,M,1,835
0,2,male,31.0,15.05,C,Mr,M,1,182
1,1,female,39.0,110.8833,C,Mrs,C,3,582
0,2,male,39.0,13.0,S,Mr,M,1,796
0,3,male,26.0,8.6625,S,Mr,M,3,70
0,3,male,20.0,7.05,S,Mr,M,1,132
1,1,female,40.0,133.65,S,Mrs,M,2,335
0,3,male,49.0,0.0,S,Mr,M,1,598
0,2,male,23.0,15.0458,C,Mr,M,1,136
0,3,male,1.0,39.6875,S,Master,M,6,165
1,3,female,18.0,7.8792,Q,Miss,M,1,29
0,3,male,26.0,23.45,S,Mr,M,4,784
1,2,male,3.0,26.0,S,Master,F,3,194
1,3,male,4.0,11.1333,S,Master,M,3,870
0,3,male,19.0,7.65,S,Mr,F,1,716
0,3,male,40.5,7.75,Q,Mr,M,1,526
1,3,female,1.0,15.7417,C,Miss,M,3,382
0,3,female,31.0,15.2458,C,Mrs,M,3,141
0,3,male,21.0,7.925,S,Mr,M,1,174
0,1,male,54.0,51.8625,S,Mr,E,1,7
0,3,male,26.0,15.5,Q,Mr,M,1,719
0,2,male,25.0,41.5792,C,Mr,M,4,686
0,3,male,26.0,14.4542,C,Mr,M,2,74
0,3,female,22.0,10.5167,S,Miss,M,1,883
1,3,female,31.0,20.525,S,Mrs,M,3,329
1,1,male,49.0,89.1042,C,Mr,C,2,454
0,2,male,19.0,36.75,S,Mr,M,3,146
0,2,male,24.0,10.5,S,Mr,M,1,235
1,3,male,16.0,8.05,S,Mr,M,1,221
1,1,male,25.0,55.4417,C,Mr,E,2,371
0,3,male,39.0,24.15,S,Mr,M,1,812
0,3,female,47.0,14.5,S,Mrs,M,2,133
0,1,male,60.0,26.55,S,Col,M,1,695
0,2,male,24.0,13.0,S,Mr,M,1,865
0,1,male,40.0,50.0,S,Mr,A,1,186
0,2,female,27.0,21.0,S,Mrs,M,2,42
1,2,male,31.0,13.8625,C,Mr,M,1,548
0,3,male,38.0,7.8958,S,Mr,M,1,109
0,3,male,44.0,8.05,S,Mr,M,1,604
1,2,female,21.0,10.5,S,Miss,M,1,57
1,3,female,24.0,16.7,S,Mrs,G,3,395
1,2,female,45.0,13.5,S,Mrs,M,1,707
1,2,male,8.0,36.75,S,Master,M,3,550
0,3,female,8.0,21.075,S,Miss,M,5,25
0,1,male,40.0,35.0,S,Mr,C,1,352
1,3,male,32.0,8.05,S,Mr,E,1,430
0,1,male,50.0,55.9,S,Mr,E,2,435
0,3,male,21.0,7.8,S,Mr,M,1,52
1,2,female,50.0,10.5,S,Miss,M,1,527
0,3,female,23.0,7.925,S,Miss,M,1,817
1,3,male,32.0,7.8542,S,Mr,M,1,570
0,3,female,18.0,7.75,Q,Miss,M,1,265
0,3,female,21.0,34.375,S,Miss,M,5,437
0,3,male,26.0,7.75,Q,Mr,M,1,614
0,3,male,25.0,7.225,C,Mr,M,1,694
